CUSTOMER_ID,RISK_BAND,DEFAULT_PROBABILITY,RECOMMENDED_ACTION,SCORE_DATE,ACTION_PRIORITY,ASSIGNED_TEAM,REVIEW_REQUIRED
11251,LOW,0.2914823977676257,STANDARD_MONITORING,2026-05-23,3,PORTFOLIO_MONITORING_TEAM,NO
11252,HIGH,0.8172622261341503,MANUAL_REVIEW_AND_EARLY_INTERVENTION,2026-05-23,1,COLLECTIONS_REVIEW_TEAM,YES
11253,LOW,0.20502872916324247,STANDARD_MONITORING,2026-05-23,3,PORTFOLIO_MONITORING_TEAM,NO
11254,LOW,0.19955327266865233,STANDARD_MONITORING,2026-05-23,3,PORTFOLIO_MONITORING_TEAM,NO
11255,MEDIUM,0.4373919789164768,SEND_PAYMENT_REMINDER_AND_MONITOR,2026-05-23,2,CUSTOMER_OUTREACH_TEAM,NO
11256,LOW,0.3070377900509954,STANDARD_MONITORING,2026-05-23,3,PORTFOLIO_MONITORING_TEAM,NO
11257,MEDIUM,0.4481470973536043,SEND_PAYMENT_REMINDER_AND_MONITOR,2026-05-23,2,CUSTOMER_OUTREACH_TEAM,NO
11258,LOW,0.3081767735154029,STANDARD_MONITORING,2026-05-23,3,PORTFOLIO_MONITORING_TEAM,NO
11259,MEDIUM,0.6422846551771679,SEND_PAYMENT_REMINDER_AND_MONITOR,2026-05-23,2,CUSTOMER_OUTREACH_TEAM,NO
11260,HIGH,0.7468586639859861,MANUAL_REVIEW_AND_EARLY_INTERVENTION,2026-05-23,1,COLLECTIONS_REVIEW_TEAM,YES
11261,MEDIUM,0.5240179637706187,SEND_PAYMENT_REMINDER_AND_MONITOR,2026-05-23,2,CUSTOMER_OUTREACH_TEAM,NO
11262,HIGH,0.8125706736142266,MANUAL_REVIEW_AND_EARLY_INTERVENTION,2026-05-23,1,COLLECTIONS_REVIEW_TEAM,YES
11263,MEDIUM,0.5119182999995967,SEND_PAYMENT_REMINDER_AND_MONITOR,2026-05-23,2,CUSTOMER_OUTREACH_TEAM,NO
11264,MEDIUM,0.6892954014428235,SEND_PAYMENT_REMINDER_AND_MONITOR,2026-05-23,2,CUSTOMER_OUTREACH_TEAM,NO
11265,MEDIUM,0.5432904502275386,SEND_PAYMENT_REMINDER_AND_MONITOR,2026-05-23,2,CUSTOMER_OUTREACH_TEAM,NO
11266,MEDIUM,0.5313414172163876,SEND_PAYMENT_REMINDER_AND_MONITOR,2026-05-23,2,CUSTOMER_OUTREACH_TEAM,NO
11267,HIGH,0.9253515793206253,MANUAL_REVIEW_AND_EARLY_INTERVENTION,2026-05-23,1,COLLECTIONS_REVIEW_TEAM,YES
